community,pop_total,ass_ind,burg_ind,crimSex_ind,hom_ind,robb_ind,ass_rel,burg_rel,crimSex_rel,hom_rel,robb_rel
WEST LAWN,36745,28.8,40.5,1.6,0.3,15.5,0.5,0.8,0.4,0.2,0.5
CHICAGO LAWN,57641,69,89.2,7.3,3.5,43.4,1.2,1.8,1.7,2.4,1.3
WEST ENGLEWOOD,37013,157,116.4,10.8,7.3,80.8,2.7,2.3,2.5,5,2.4
ENGLEWOOD,34610,166.1,106.9,13,5.2,107.2,2.8,2.1,3,3.6,3.2
GREATER GRAND CROSSING,39681,127.8,91.2,5.5,3,76.9,2.2,1.8,1.3,2.1,2.3
LINCOLN PARK,71633,16.2,27.8,2.1,0.1,13.8,0.3,0.6,0.5,0.1,0.4
ASHBURN,42480,37.2,51.3,2.6,1.6,17.9,0.6,1,0.6,1.1,0.5
AUBURN GRESHAM,50228,118.1,92.4,7,3,75.1,2,1.8,1.6,2,2.2
BEVERLY,21430,24.7,34.5,1.4,0,12.1,0.4,0.7,0.3,0,0.4
WASHINGTON HEIGHTS,29030,74.4,56.1,4.8,2.1,40.3,1.3,1.1,1.1,1.4,1.2
MOUNT GREENWOOD,19093,26.2,14.1,0,0,2.1,0.4,0.3,0,0,0.1
MORGAN PARK,25239,55.5,42.8,4,2,23.8,1,0.9,0.9,1.4,0.7
OHARE,13848,45.5,13,2.2,0.7,4.3,0.8,0.3,0.5,0.5,0.1
EDGEWATER,60465,21,16.5,2.3,0.5,10.1,0.4,0.3,0.5,0.3,0.3
EDISON PARK,11960,9.2,13.4,0,0,0.8,0.2,0.3,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
,"all crime rates are per 10,000 people",,,,,,,,,,
