community,Assaults,Burglaries,Sexual assaults,Robberies,Homicides,ID,community2,area_numbe
CALUMET HEIGHTS,83.9,53,4.7,42.9,0.7,44,CALUMET HEIGHTS,1
ROSELAND,119.8,89.5,7.4,70,2.5,45,ROSELAND,1
NORTH CENTER,14.1,39,2.1,6.9,0,46,NORTH CENTER,1
PULLMAN,163.4,56.2,5.2,39.2,1.3,47,PULLMAN,1
SOUTH DEERING,92.5,82.8,6.5,54.3,3.2,48,SOUTH DEERING,1
EAST SIDE,39.9,37.3,1.7,7.4,0.9,49,EAST SIDE,1
WEST PULLMAN,106.5,95.4,6.6,52.8,2.3,50,WEST PULLMAN,1
RIVERDALE,197.2,79.8,6,55.7,4.5,51,RIVERDALE,1
HEGEWISCH,55.6,36.4,2,7.1,0,52,HEGEWISCH,1
GARFIELD RIDGE,25.3,35.7,3.7,11.2,0.3,53,GARFIELD RIDGE,1
ARCHER HEIGHTS,33.4,50.1,4.2,23.6,0,54,ARCHER HEIGHTS,1
BRIGHTON PARK,34.4,52.9,2.6,14.4,0.4,55,BRIGHTON PARK,1
MCKINLEY PARK,34.5,36.9,1.2,18.2,0.6,56,MCKINLEY PARK,1
LAKE VIEW,18.8,34.8,3,21.6,0,57,LAKE VIEW,1
BRIDGEPORT,38.4,45.8,1.2,11.7,0.6,58,BRIDGEPORT,1
NEW CITY,79.9,55.6,4.8,43.9,3.3,59,NEW CITY,1
WEST ELSDON,20.9,49.6,1.5,18.5,0,60,WEST ELSDON,1
GAGE PARK,35.4,41.4,1.7,20,1.2,61,GAGE PARK,1
CLEARING,25.5,26.2,0.8,5.4,0.8,62,CLEARING,1
WEST LAWN,28.8,40.5,1.6,15.5,0.3,63,WEST LAWN,1
CHICAGO LAWN,69,89.2,7.3,43.4,3.5,64,CHICAGO LAWN,1
WEST ENGLEWOOD,157,116.4,10.8,80.8,7.3,65,WEST ENGLEWOOD,1
ENGLEWOOD,166.1,106.9,13,107.2,5.2,66,ENGLEWOOD,1
GREATER GRAND CROSSING,127.8,91.2,5.5,76.9,3,67,GREATER GRAND CROSSING,1
LINCOLN PARK,16.2,27.8,2.1,13.8,0.1,68,LINCOLN PARK,1
ASHBURN,37.2,51.3,2.6,17.9,1.6,69,ASHBURN,1
AUBURN GRESHAM,118.1,92.4,7,75.1,3,70,AUBURN GRESHAM,1
BEVERLY,24.7,34.5,1.4,12.1,0,71,BEVERLY,1
WASHINGTON HEIGHTS,74.4,56.1,4.8,40.3,2.1,72,WASHINGTON HEIGHTS,1
MOUNT GREENWOOD,26.2,14.1,0,2.1,0,73,MOUNT GREENWOOD,1
MORGAN PARK,55.5,42.8,4,23.8,2,74,MORGAN PARK,1
OHARE,45.5,13,2.2,4.3,0.7,75,OHARE,1
EDGEWATER,21,16.5,2.3,10.1,0.5,76,EDGEWATER,1
EDISONPARK,9.2,13.4,0,0.8,0,77,EDISON PARK,9
